REGION 1 - ILOCOS REGION,,
ILOCOS NORTE,,
Laoag City,2900,
San Nicolas,2901,
Paoay,2902,
Currimao,2903,
Badoc,2904,
Pinili,2905,
Batac,2906,
Marcos,2907,
Espiritu,2908,
Nueva Era,2909,
Solsona,2910,
Carasi,2911,
Piddig,2912,
Dingras,2913,
Sarrat,2914,
Vintar,2915,
Bacarra,2916,
Pasuquin,2917,
Burgos,2918,
Pagudpud,2919,
Bangui,2920,
Dumalneg,2921,
Adams,2922,
ILOCOS SUR,,
Vigan,2700,
Santa Catalina,2701,
Caoayan,2702,
Santa,2703,
Narvacan,2704,
Santa Maria,2705,
San Esteban,2706,
Santiago,2707,
Banayoyo,2708,
Galimuyod,2709,
Candon,2710,
Salcedo,2711,
Santa Lucia,2712,
Santa Cruz,2713,
Tagudin,2714,
Suyo,2715,
Alilem,2716,
Sugpon,2717,
Cervantes,2718,
Sigay,2719,
Gregorio del Pilar,2720,
Quirino,2721,
San Emilio,2722,
Lidlida,2723,
Burgos,2724,
Nagbukel,2725,
San Vicente,2726,
Bantay,2727,
San Ildefonso,2728,
Santo Domingo,2729,
Magsingal,2730,
San Juan,2731,
Cabugao,2732,
Sinait,2733,
LA UNION,,
San Fernando,2500,
Bauang,2501,
Caba,2502,
Aringay,2503,
Agoo,2504,
Sto. Tomas,2505,
Rosario,2506,
Damortis,2507,
Pugo,2508,
Tubao,2509,
Burgos,2510,
Naguilian,2511,
Bagulin,2512,
San Gabriel,2513,
San Juan,2514,
Bacnotan,2515,
Santol,2516,
Balaoan,2517,
Luna,2518,
Bangar,2519,
Sudipen,2520,
PANGASINAN,,
Dagupan City,2400,
Lingayen,2401,
Labrador,2402,
Sual,2403,
Alaminos,2404,
Anda,2405,
Bolinao,2406,
Bani,2407,
Agno,2408,
Mabini,2409,
Burgos,2410,
Dasol,2411,
Infanta,2412,
Mangatarem,2413,
Urbiztondo,2414,
Aguilar,2415,
Bugallon,2416,
Binmaley,2417,
Calasiao,2418,
Sta. Barbara,2419,
San Carlos City,2420,
Malasiqui,2421,
Basista,2422,
Bayambang,2423,
