REGION 6 - WESTERN VISAYAS,
AKLAN,
Kalibo,5600
Banga,5601
Libacao,5602
Madalag,5603
Numancia,5604
Lezo,5605
Malinao,5606
Nabas,5607
Malay,5608
Buruanga,5609
New Washington,5610
Makato,5611
Tangalan,5612
Ibajay,5613
Balete,5614
Batan,5615
Altavas,5616
ANTIQUE,
San Jose,5700
Belison,5701
Patnongon,5702
Valderrama,5703
Bugasong,5704
Laua-an,5705
Barbaza,5706
Tibiao,5707
Culasi,5708
Sebaste,5709
Libertad,5710
Caluya,5711
Pandan,5712
Sibalom,5713
San Remegio,5714
Hamtic,5715
Tobias Fornier (Dao),5716
Anini-y,5717
CAPIZ,
Roxas City,5800
Panay,5801
Pontevedra,5802
Pres. Roxas,5803
Pilar,5804
Ivisan,5805
Sapian,5806
Mambusao,5807
Jamindan,5808
Ma-ayon,5809
Dao,5810
Cuartero,5811
Dumarao,5812
Dumalag,5813
Tapaz,5814
Panitan,5815
Sigma,5816
GUIMARAS,
Buenavista,5044
Jordan,5045
Nueva Valencia,5046
San Lorenzo,5047
Sibunag,5048
ILOILO,
Iloilo City,5000
Pavia,5001
Santa Barbara,5002
Leganes,5003
Zarraga,5004
New Lucena,5005
Dumangas,5006
Barotac Nuevo,5007
Pototan,5008
Anilao,5009
Banate,5010
Barotac Viejo,5011
Ajuy,5012
Concepcion,5013
Sara,5014
San Dionisio,5015
Batad,5016
Estancia,5017
Balasan,5018
Carles,5019
Oton,5020
Tigbauan,5021
Guimbal,5022
Miagao,5023
San Joaquin,5024
San Miguel,5025
Leon,5026
Tubungan,5027
Alimodian,5028
Igbaras,5029
Maasin,5030
Cabatuan,5031
Mina,5032
Badiangan,5033
Janiuay,5034
Dingle,5035
San Enrique,5036
Passi,5037
Dueñas,5038
San Rafael,5039
Calinog,5040
Bingawan,5041
Lambunao,5042
Lemery,5043
REGION 7 - CENTRAL VISAYAS,
BOHOL,
Tagbilaran City,6300
Baclayon,6301
Alburquerque,6302
Loay,6303
Lila,6304
Dimiao,6305
Valencia,6306
Garcia Hernandez,6307
Jagna,6308
Duero,6309
Guindulman,6310
Anda,6311
Candijay,6312
Mabini,6313
Alicia,6314
Ubay,6315
Loboc,6316
Bilar,6317
Batuan,6318
Carmen,6319
Sierra Bullones,6320
Pilar,6321
Dagohoy,6322
San Miguel,6323
Trinidad,6324
Talibon,6325
Bien Unido,6326
Loon,6327
Calape,6328
Tubigon,6329
Clarin,6330
Sagbayan,6331
Inabanga,6332
Buenavista,6333
Jetafe,6334
Antequera,6335
Maribojoc,6336
Corella,6337
Sikatuna,6338
Dauis,6339
Panglao,6340
Cortes,6341
Balilihan,6342
Catigbian,6343
Danao,6344
San Isidro,6345
President Carlos P. Garcia ,6346
Sevilla,6347
CEBU,
Cebu City,6000
Consolacion,6001
Liloan,6002
Compostela,6003
Danao City,6004
Carmen,6005
Catmon,6006
Sogod,6007
Borbon,6008
Tabogon,6009
Bogo,6010
San Remegio,6011
Medellin,6012
Daang-Bantayan,6013
Mandaue City,6014
Lapu-Lapu City,6015
Mactan Airport,6016
Cordova,6017
San Fernando,6018
Carcar,6019
Sibonga,6020
Argao,6021
Dalaguete,6022
Alcoy,6023
Boljoon,6024
Oslob,6025
Santander,6026
Samboan,6027
Ginatilan,6028
Malabuyoc,6029
Alegria,6030
Badian,6031
Moalboal,6032
Alcantara,6033
Ronda,6034
Dumanjug,6035
Barili,6036
Naga,6037
Toledo City,6038
Pinamungajan,6039
Aloguinsan,6040
Balamban,6041
Asturias,6042
Tuburan,6043
Tabuelan,6044
Talisay,6045
Minglanilla,6046
Santa Fe,6047
Pilar,6048
Poro,6049
San Francisco,6050
Tudela,6051
Bantayan,6052
Madridejos,6053
SIQUIJOR,
Siquijor    ,6225
Larena,6226
San Juan,6227
Lazi,6228
Maria,6229
Enrique Villanueva,6230
REGION 8 - EASTERN VISAYAS,
BILIRAN,
Naval,6543
Almeria,6544
Kawayan,6545
Maripipi,6546
Culaba,6547
Caibiran,6548
Biliran,6549
Cabucgayan,6550
EASTERN SAMAR,
Borongan,6800
Balangkayan,6801
Maydolong,6802
Llorente,6803
Hernani,6804
Gen. MacArthur,6805
Can-Avid,6806
Salcedo,6807
Mercedes,6808
Guiuan,6809
Quinapondan,6810
Giporlos,6811
Balangiga,6812
Lawaan,6813
San Julian,6814
Sulat,6815
Taft,6816
Dolores,6817
Oras,6818
Jipapad,6819
Maslog,6820
San Policarpio,6821
Arteche,6822
LEYTE,
Tacloban City,6500
Palo,6501
Tanauan,6502
Tolosa,6503
Tabontabon,6504
Dulag,6505
Julita,6506
Mayorga,6507
La Paz,6508
Macarthur,6509
Abuyog,6510
Javier,6511
Mahaplag,6512
Sta. Fe,6513
Pastrana,6514
Dagami,6515
Burauen,6516
Alangalang,6517
San Miguel,6518
Barugo,6519
Babatngon,6520
Baybay,6521
Inopacan,6522
Hindang,6523
Hilongos,6524
Bato,6525
Matalom,6526
Jaro,6527
Tunga,6528
Carigara,6529
Capoocan,6530
Kananga,6531
Matag-ob,6532
Leyte   ,6533
Calubian,6534
San Isidro,6535
Tabango,6536
Villaba,6537
Palompon,6538
Isabel,6539
Merida,6540
Ormoc City,6541
Albuera,6542
NORTHERN SAMAR,
Catarman,6400
Bobon,6401
San Jose,6402
Lope de Vega,6403
Lavezares,6404
Allen,6405
Victoria,6406
San Antonio,6407
Capul,6408
San Isidro,6409
Biri,6410
Laoang,6411
Mapanas,6412
Pambujan,6413
Silvino Lobos,6414
San Roque,6415
Rosario,6416
Mondragon,6417
Catubig,6418
San Vicente,6419
Las Navas,6420
Palapag,6421
Gamay,6422
Lapineg,6423
SOUTHERN LEYTE,
Maasin,6600
Macrohon,6601
Padre Burgos,6602
Malitbog,6603
Bontoc,6604
Tomas Oppus,6605
Sogod,6606
Silago,6607
Hinunangan,6608
Hinundayan,6609
Anahawan,6610
San Juan (Cabalian),6611
Liloan,6612
San Francisco,6613
Pintuyan,6614
Libagon,6615
St. Bernard,6616
San Ricardo,6617
Limasawa,6618
WESTERN SAMAR,
Catbalogan,6700
Jiabong,6701
Motiong,6702
Wright,6703
Tarangnan,6704
Pagsanghan,6705
Gandara,6706
San Jorge,6707
Matuguinao,6708
Sta. Margarita,6709
Calbayog City,6710
Sto. Niño,6711
Tagapul-an,6712
Hinabangan,6713
San Sebastian,6714
Calbiga,6715
Pinabacdao,6716
Villareal,6717
Sta. Rita,6718
Talalora,6719
Basey,6720
Marabut,6721
Daram,6722
San Jose de Buan,6723
Almagro,6724
Zumarraga,6725
REGION 18 - NIR,
NEGROS OCCIDENTAL,
Bacolod City,6100
Bago City,6101
Pulupandan,6102
Valladolid,6103
San Enrique,6104
Pontevedra,6105
Hinigaran,6106
Binalbagan,6107
Himamaylan,6108
Ilog,6109
Candoni,6110
Kabankalan,6111
Cauayan,6112
Sipalay,6113
Hinoba-an,6114
Talisay,6115
Silay City,6116
Silay Hawaiian Central,6117
Enrique Magalona      ,6118
Victorias,6119
Manapla,6120
Cadiz City,6121
Sagay,6122
Paraiso (Fabrica),6123
Escalante,6124
Toboso,6125
Calatrava,6126
San Carlos City,6127
Isabela,6128
Murcia,6129
La Carlota City,6130
La Castellana,6131
Moises Padilla,6132
Don Salvador Benedicto    ,6133
NEGROS ORIENTAL,
Dumaguete City,6200
Sibulan,6201
San Jose,6202
Amlan,6203
Tanjay,6204
Pamplona,6205
Bais City,6206
Mabinay,6207
Manjuyod,6208
Bindoy,6209
Ayungon,6210
Tayasan,6211
Jimalalud,6212
La Libertad,6213
Guihulngan,6214
Valencia,6215
Bacung,6216
Dauin,6217
Zamboanguita,6218
Siaton,6219
Sta. Catalina,6220
Bayawan,6221
Basay,6222
Canlaon City,6223
Valle hermoso,6224
,
*** NOTHING FOLLOWS ***,
